company_code,service_category,country,city,zone_code,source_file
#CR0001,domestic,LK,Minuwangoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mirigama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mirihanagama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Monaragala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Moragane,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Moragollagama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Morathiha,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Morontuduwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Muddaragama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mudungoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mullegama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Mulleriyawa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Munamaldeniya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Muruthenge,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Nagollagama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Nagollagoda,C,Domestic Zone List.pdf
